model,detector,stream,seed,n_samples,accuracy,retrains,n_drift_events,throughput_samples_per_s,elapsed_s,latency_p50_us,latency_p95_us,latency_p99_us,latency_mean_us,true_drifts,true_positives,false_positives,missed,mean_detection_delay,penalized_detection_delay,false_positive_rate,miss_rate
sgd_logistic,page_hinkley,sea,42,2000,0.764477014541626,0,0,1008.8461176247117,1.9824628999999732,163.4,344.615,547.0229999999998,190.1301111111111,3,0,0,3,,2000.0,0.0,1.0
sgd_logistic,page_hinkley,sea,1337,2000,0.75734943151474,0,0,1016.3931510347592,1.9677424999999857,160.05,376.12,600.3609999999998,190.52283333333332,3,0,0,3,,2000.0,0.0,1.0
sgd_logistic,page_hinkley,sea,2024,2000,0.7658860087394714,0,0,1025.1583600562988,1.9509180999998534,161.9,358.83999999999986,557.8199999999999,188.26766666666666,3,0,0,3,,2000.0,0.0,1.0
sgd_logistic,page_hinkley,hyperplane,42,2000,0.8170287609100342,0,0,988.0243544053016,2.024241599999641,163.5,367.8999999999999,618.9049999999999,196.36183333333335,2,0,0,2,,2000.0,0.0,1.0
sgd_logistic,page_hinkley,hyperplane,1337,2000,0.8182936310768127,0,0,980.8972227661733,2.038949599999796,165.1,389.7749999999999,650.8409999999999,198.96494444444446,2,0,0,2,,2000.0,0.0,1.0
sgd_logistic,page_hinkley,hyperplane,2024,2000,0.7883709073066711,0,0,1016.3206357451712,1.9678828999999496,160.64999999999998,378.05999999999966,606.274,192.23166666666665,2,0,0,2,,2000.0,0.0,1.0
sgd_logistic,hybrid,sea,42,2000,0.764477014541626,0,0,648.9130123021837,3.0820772000001853,175.4,372.65499999999986,586.4449999999999,204.26466666666667,3,0,0,3,,2000.0,0.0,1.0
sgd_logistic,hybrid,sea,1337,2000,0.75734943151474,0,0,674.573522813884,2.9648361999998087,171.3,381.9949999999999,621.93,204.75605555555558,3,0,0,3,,2000.0,0.0,1.0
sgd_logistic,hybrid,sea,2024,2000,0.7658860087394714,0,0,659.9368506427721,3.0305929999999535,173.85000000000002,377.87999999999994,605.3699999999999,204.3786111111111,3,0,0,3,,2000.0,0.0,1.0
sgd_logistic,hybrid,hyperplane,42,2000,0.8170287609100342,0,0,647.2665980111123,3.0899168999999347,173.05,405.67499999999995,618.729,209.85755555555554,2,0,0,2,,2000.0,0.0,1.0
sgd_logistic,hybrid,hyperplane,1337,2000,0.8182936310768127,0,0,707.968461137722,2.8249846000003345,174.2,405.655,624.3259999999999,208.6821111111111,2,0,0,2,,2000.0,0.0,1.0
sgd_logistic,hybrid,hyperplane,2024,2000,0.7883709073066711,0,0,694.9535944736791,2.877890000000207,170.7,404.54499999999996,606.6639999999999,203.33655555555558,2,0,0,2,,2000.0,0.0,1.0
